"","lon","lat","NAME","type","inmates"
"194",-96.5290507,29.7728806,"Columbus CCD","local_jail",61
"195",-99.7906493,28.7619558,"Crystal City CCD","local_jail",61
"196",-98.2140957,29.1736838,"Floresville CCD","fed_pris",59
"197",-97.3313923,29.5144152,"Gonzales CCD","local_jail",59
"198",-95.4669655,32.8450849,"Quitman CCD","local_jail",57
"199",-102.833046,34.2110997,"Muleshoe CCD","local_jail",56
"200",-102.3796457,33.6586659,"Levelland CCD","local_jail",54
"201",-94.3413137,32.159102,"Carthage CCD","local_jail",54
"202",-95.1170706,30.5953959,"Coldspring CCD","local_jail",54
"203",-102.956606,31.5361293,"Monahans CCD","local_jail",54
"204",-98.8061548,32.417369,"Eastland CCD","local_jail",51
"205",-97.6321213,33.5863679,"Montague-Forestburg CCD","local_jail",51
"206",-100.3446966,32.4442471,"Sweetwater CCD","local_jail",49
"207",-96.6098833,28.5627461,"Port Lavaca CCD","local_jail",48
"208",-98.2381219,32.2447233,"Stephenville CCD","local_jail",48
"209",-99.8955722,31.7755768,"Ballinger CCD","local_jail",48
"210",-97.1898898,32.9009993,"Northeast Tarrant CCD","local_jail",48
"211",-96.6610715,33.0596357,"Plano CCD","local_jail",46
"212",-98.0266638,28.194109,"George West CCD","local_jail",46
"213",-101.8450028,33.2025905,"Tahoka CCD","state_pris",42
"214",-96.4215296,31.062044,"Franklin CCD","local_jail",41
"215",-102.2337025,33.9438281,"Littlefield CCD","local_jail",40
"216",-100.8530504,32.8059799,"Snyder CCD","local_jail",40
"217",-94.9042211,32.4306806,"Liberty City CCD","local_jail",39
"218",-101.9507634,35.8079882,"Dumas CCD","local_jail",39
"219",-96.75878,30.5321712,"Caldwell CCD","local_jail",38
"220",-102.5246495,36.2599423,"Dalhart CCD","local_jail",38
"221",-96.8146761,29.4119027,"Hallettsville CCD","local_jail",38
"222",-96.9291759,30.173879,"Giddings CCD","local_jail",38
"223",-99.3024746,34.138069,"Vernon CCD","local_jail",38
"224",-103.4686545,29.6177838,"Alpine CCD","local_jail",36
"225",-100.2044841,34.4360735,"Childress CCD","local_jail",34
"226",-98.3259528,29.8525121,"Canyon Lake CCD","local_jail",33
"227",-101.960725,31.3821866,"Rankin CCD","local_jail",33
"228",-97.0505127,33.0898169,"Lewisville-Flower Mound CCD","local_jail",32
"229",-97.6362759,32.0051519,"Meridian CCD","local_jail",31
"230",-98.7251079,29.8247298,"Boerne CCD","local_jail",31
"231",-97.4251284,28.7470987,"Goliad North CCD","local_jail",30
"232",-99.9714441,28.4834113,"Carrizo Springs CCD","local_jail",29
"233",-95.2197249,33.2138136,"Mount Vernon CCD","local_jail",29
"234",-94.7264609,33.0054742,"Daingerfield CCD","local_jail",29
"235",-95.0582889,33.6212937,"Clarksville CCD","local_jail",28
"236",-96.1227173,31.818496,"Fairfield CCD","local_jail",27
"237",-95.1758783,29.6803241,"Pasadena CCD","local_jail",27
"238",-95.8817336,31.2545547,"Centerville CCD","local_jail",27
