"","lon","lat","NAME","type","inmates"
"250",-84.9474444,30.6986046,"Sneads CCD","state_pris",2048
"251",-66.180776,17.9523818,"Jobos barrio","state_pris",2045
"252",-94.9250132,39.3227166,"Leavenworth city","fed_pris",2039
"253",-96.6803544,40.8089574,"Lincoln city","state_pris",2036
"254",-96.1967636,33.5543462,"Bonham CCD","state_pris",2030
"255",-117.6484098,34.0388445,"Ontario CCD","fed_pris",2028
"256",-96.876343,32.6984258,"Southwest Dallas CCD","state_pris",2024
"257",-81.6794861,41.4781381,"Cleveland city","local_jail",2024
"258",-83.2955472,30.1801547,"Day CCD","state_pris",2018
"259",-72.230131,41.3567172,"East Lyme town","state_pris",2014
"260",-85.7512252,38.2425111,"Louisville Central CCD","local_jail",2011
"261",-84.048156,33.2371733,"Southwest Butts CCD","state_pris",2007
"262",-76.8301748,42.7134963,"Romulus town","state_pris",1996
"263",-84.3408214,33.4776575,"Jonesboro CCD","local_jail",1991
"264",-91.2627618,31.6080976,"District 5","fed_pris",1976
"265",-94.798858,32.1723323,"Henderson CCD","state_pris",1969
"266",-97.6912697,30.2395128,"Austin CCD","local_jail",1965
"267",-80.3445001,25.8193653,"North Westside CCD","local_jail",1958
"268",-82.0774618,28.6008637,"Bushnell-Center Hill CCD","state_pris",1956
"269",-102.7986785,30.6781932,"Fort Stockton CCD","state_pris",1956
"270",-80.0972891,26.6268929,"Lake Worth CCD","local_jail",1956
"271",-80.8307389,35.2087069,"Township 1, Charlotte","local_jail",1956
"272",-76.5185253,40.7765942,"Coal township","state_pris",1954
"273",-82.1516996,29.9638343,"Starke CCD","state_pris",1952
"274",-81.8108637,31.4940495,"Jesup CCD","fed_pris",1943
"275",-101.7856441,34.1955342,"Plainview CCD","state_pris",1937
"276",-79.9326028,39.9737816,"Luzerne township","state_pris",1930
"277",-86.8834651,36.1790483,"District 20","state_pris",1930
"278",-106.528069,31.948886,"El Paso Northwest CCD","fed_pris",1928
"279",-87.1427868,32.9322265,"Centreville-Brent CCD","state_pris",1924
"280",-91.1893826,39.3380396,"Cuivre township","state_pris",1924
"281",-101.1985034,33.1514982,"Post East CCD","fed_pris",1920
"282",-106.115001,31.6740541,"El Paso East CCD","local_jail",1915
"283",-82.8034103,32.113498,"Alamo CCD","state_pris",1911
"284",-73.9647353,41.5032396,"Beacon city","state_pris",1908
"285",-78.2093867,43.2263431,"Albion town","state_pris",1901
"286",-82.2328293,30.1146512,"Raiford CCD","state_pris",1899
"287",-87.9911725,35.377286,"District 2","state_pris",1899
"288",-89.418694,39.0995576,"East Fork township","state_pris",1894
"289",-82.6792326,31.4748933,"Nicholls CCD","state_pris",1893
"290",-77.7152503,39.5927684,"District 10, Funkstown","state_pris",1883
"291",-116.815378,32.6787552,"Jamul CCD","local_jail",1883
"292",-83.2233795,37.8933925,"West Liberty CCD","state_pris",1880
"293",-85.5001281,30.9096342,"Graceville CCD","state_pris",1874
"294",-117.1012203,32.8212225,"San Diego CCD","local_jail",1852
"295",-81.6326392,28.1519409,"Haines City CCD","state_pris",1847
"296",-92.015278,32.4676052,"District D","local_jail",1845
"297",-88.8730932,38.162472,"Spring Garden township","state_pris",1844
"298",-90.3765641,40.950217,"Galesburg City township","state_pris",1844
"299",-74.1208748,40.7537199,"Kearny town","local_jail",1843
"300",-87.6109484,40.1041251,"Danville township","state_pris",1839
"301",-118.2451847,33.8696415,"Compton CCD","local_jail",1833
"302",-83.3164718,31.9531356,"Abbeville CCD","state_pris",1829
"303",-104.8806251,39.7618487,"Denver CCD","local_jail",1822
"304",-80.1862001,39.8738626,"Franklin township","state_pris",1819
"305",-99.0910375,29.3857818,"Hondo CCD","state_pris",1818
"306",-75.4213848,40.1510275,"Lower Providence township","local_jail",1816
"307",-87.90155,42.7002502,"Sturtevant village","state_pris",1811
"308",-80.2817064,34.2227527,"Bishopville CCD","state_pris",1802
"309",-88.0115479,42.883879,"Franklin city","local_jail",1800
"310",-84.2235476,31.2542997,"Camilla CCD","state_pris",1787
"311",-76.8096099,42.0933876,"Elmira city","state_pris",1787
"312",-95.3075356,35.7037575,"Muskogee CCD","state_pris",1786
"313",-96.6883192,32.8294489,"Northeast Dallas CCD","fed_pris",1781
"314",-91.178097,35.6378955,"Village township","state_pris",1777
"315",-97.9119445,38.0681225,"Hutchinson city","state_pris",1775
"316",-76.9201828,40.9987107,"Kelly township","fed_pris",1774
